label,classification,old_32bit_addr,va,rva,file_offset,pdata_start,pdata_end,pdata_size,evidence,notes
image_base,confirmed,,0x140000000,,,,,,"Ghidra MCP list_segments","Program loaded at PE image base"
text_segment,confirmed,,0x140001000,0x1000,0x400,,,,"Ghidra MCP list_segments",".text ends at 0x141646dff"
rdata_segment,confirmed,,0x141647000,0x1647000,0x1646200,,,,"Ghidra MCP list_segments and overlay report",".rdata contains jafont format string"
data_segment,confirmed,,0x1416d2000,0x16d2000,0x16d1000,,,,"Ghidra MCP list_segments and overlay report",".data contains runtime globals; high virtual tail is not raw-backed"
runtime_dump_ffvii_module,confirmed,,0x7ff620130000,,,,,,"MiniDump module list","Runtime module size 0x212a000"
runtime_overlay_file,confirmed,,,,,,,,"Runtime dump overlay build","codex-lab/work/runtime_dump/FFVII_runtime_overlay.exe; preferred image base kept at 0x140000000"
jafont_format_string,confirmed,,0x14164C300,0x164C300,0x164B500,,,,"PE string scan; file byte check","Exact string occurs once"
jafont_direct_loader_initializer,confirmed,,0x141571D90,0x1571D90,0x1571190,0x141571D90,0x141571E88,0xF8,"Current Ghidra MCP decompile","FUN_141571d90 contains the 0x141571DC0 loader block; formats six jafont_%d.tim names; allocates 0x138-byte struct"
jafont_direct_xref_instruction,confirmed,,0x141571E19,0x1571E19,0x1571219,0x141571DC0,0x141571E84,0xC4,"Runtime overlay byte check","RIP-relative lea targets 0x14164C300"
font_resource_handle_global,confirmed,,0x14207CDEC,0x207CDEC,,,,,"Runtime overlay decompile","Written by loader initializer; used with six object slots"
font_resource_struct_global,confirmed,,0x14207CE08,0x207CE08,,,,,"Runtime overlay decompile","Pointer to 0x138-byte font resource struct"
font_object_release_or_drawprep,confirmed,,0x14156DE10,0x156DE10,0x156D210,0x14156DE10,0x14156DF14,0x104,"Runtime overlay decompile","Checks six object offsets and calls FUN_14004AB00(0x671082,1,slot)"
font_object_upload_store,confirmed,,0x14156DF20,0x156DF20,0x156D320,0x14156DF20,0x14156E114,0x1F4,"Current Ghidra MCP decompile","FUN_14156df20 contains the 0x14156DF3A upload block; stores six object handles at +0x10,+0x24,+0x38,+0x4C,+0x60,+0x74"
font_page_renderer,confirmed,,0x141571EC0,0x1571EC0,0x15712C0,0x141571EC0,0x14157237E,0x4BE,"Current Ghidra MCP decompile","FUN_141571ec0 contains the 0x1415720BB page switch; selects one of six font object handles and writes glyph UV vertices"
width_helper_141571220,confirmed,,0x141571220,0x1571220,0x1570620,,,,,"Runtime overlay decompile","Width helper using tables near 0x14164C3B0,0x14164C7B0,0x14164C830"
text_prefix_parser_1415712B0,confirmed,,0x1415712B0,0x15712B0,0x15706B0,0x1415712B0,0x1415714A0,0x1F0,"Current Ghidra MCP decompile","FUN_1415712b0 contains the 0x1415712E2 FA-FE check; (byte)(b+6)<5 detects FA-FE; consumes second byte"
measurement_wrapping_scanner_1415714B0,confirmed,,0x1415714B0,0x15714B0,0x15708B0,0x1415714B0,0x1415719C0,0x510,"Runtime overlay decompile","Text measurement/wrapping scanner; handles FA-FE and 0xE7/0xE8 controls"
text_draw_scanner_1415724A0,confirmed,,0x1415724A0,0x15724A0,0x15718A0,0x1415724A0,0x141572744,0x2A4,"Current Ghidra MCP decompile","FUN_1415724a0 contains the 0x14157251B FA-FE check; combines prefix and second byte before FUN_141571EC0"
common_submit_draw_char_from_buffer,confirmed,0x6F564E,0x14115AF00,0x115AF00,0x115A300,0x14115AF00,0x14115B7FE,0x8FE,"Runtime overlay decompile","Subtracts 0xFA; five-entry table at 0x6F563A; consumes second byte"
sub_6F54A2_width_measurement,probable,0x6F54A2,0x14115AE80,0x115AE80,0x115A280,0x14115AE80,0x14115AEFC,0x7C,"Runtime overlay decompile","Observed function stores current byte to 0x91F034; old full-width role not confirmed"
engine_load_menu_graphics_objects_6C1468_jp,probable,0x6C1468,0x141038510,0x1038510,0x1037910,0x141038510,0x14103896E,0x45E,"obsolete/FFNx mapping; runtime call scan","Broader menu graphics init; direct calls to 0x14156DE10 at 0x141038616"
